wavelengh nm	,	photon flux /m2/nm/s
957	,	1.6492E+27
958	,	2.03487E+27
959	,	1.63825E+27
960	,	1.57745E+27
961	,	1.30468E+27
962	,	2.22172E+27
963	,	1.80432E+27
964	,	2.03318E+27
965	,	2.22868E+27
966	,	2.13905E+27
967	,	2.44647E+27
968	,	2.22593E+27
969	,	2.4467E+27
970	,	2.44437E+27
971	,	2.44204E+27
972	,	3.17501E+27
973	,	3.34403E+27
974	,	3.09862E+27
975	,	3.48771E+27
976	,	3.36417E+27
977	,	2.96625E+27
978	,	2.81741E+27
979	,	2.89387E+27
980	,	2.80846E+27
981	,	3.14064E+27
982	,	3.02578E+27
983	,	3.14214E+27
984	,	2.98266E+27
985	,	3.51869E+27
986	,	3.41854E+27
987	,	3.30828E+27
988	,	3.64826E+27
989	,	3.40916E+27
990	,	3.72511E+27
991	,	3.66931E+27
992	,	3.65315E+27
993	,	3.7265E+27
994	,	3.6456E+27
995	,	3.75896E+27
996	,	3.74778E+27
997	,	3.68162E+27
998	,	3.77034E+27
999	,	3.76412E+27
1000	,	3.75287E+27
1001	,	3.7115E+27
1002	,	3.7102E+27
1003	,	3.71392E+27
1004	,	3.69752E+27
1005	,	3.74653E+27
1006	,	3.66963E+27
1007	,	3.70356E+27
1008	,	3.6517E+27
1009	,	3.44805E+27
1010	,	3.60836E+27
1011	,	3.68794E+27
1012	,	3.68653E+27
1013	,	3.65465E+27
1014	,	3.6532E+27
1015	,	3.67716E+27
1016	,	3.66043E+27
1017	,	3.65895E+27
1018	,	3.67787E+27
1019	,	3.61511E+27
1020	,	3.63401E+27
1021	,	3.59666E+27
1022	,	3.65653E+27
1023	,	3.53196E+27
1024	,	3.58674E+27
1025	,	3.60567E+27
1026	,	3.5475E+27
1027	,	3.57671E+27
1028	,	3.5596E+27
1029	,	3.59917E+27
1030	,	3.59236E+27
1031	,	3.58036E+27
1032	,	3.58902E+27
1033	,	3.55109E+27
1034	,	3.58045E+27
1035	,	3.56318E+27
1036	,	3.57183E+27
1037	,	3.51293E+27
1038	,	3.53714E+27
1039	,	3.55097E+27
1040	,	3.5544E+27
1041	,	3.52132E+27
1042	,	3.50905E+27
1043	,	3.53334E+27
1044	,	3.51581E+27
1045	,	3.51919E+27
1046	,	3.52257E+27
1047	,	3.48922E+27
1048	,	3.50832E+27
1049	,	3.49591E+27
1050	,	3.40454E+27
1051	,	3.46047E+27
1052	,	3.49541E+27
1053	,	3.47763E+27
1054	,	3.45982E+27
1055	,	3.46311E+27
1056	,	3.44524E+27
1057	,	3.43792E+27
1058	,	3.42528E+27
1059	,	3.43914E+27
1060	,	3.43178E+27
1061	,	3.42971E+27
1062	,	3.3957E+27
1063	,	3.29769E+27
1064	,	3.39145E+27
1065	,	3.31459E+27
1066	,	3.38182E+27
1067	,	3.32618E+27
1068	,	3.38284E+27
1069	,	3.36995E+27
1070	,	3.30876E+27
1071	,	3.32797E+27
1072	,	3.32571E+27
1073	,	3.15136E+27
1074	,	3.25658E+27
1075	,	3.32428E+27
1076	,	3.3166E+27
1077	,	3.26031E+27
1078	,	3.3606E+27
1079	,	3.2069E+27
1080	,	3.32897E+27
1081	,	3.27247E+27
1082	,	3.27008E+27
1083	,	3.28397E+27
1084	,	3.24355E+27
1085	,	3.15954E+27
1086	,	3.20601E+27
1087	,	3.25801E+27
1088	,	3.15741E+27
1089	,	3.23674E+27
1090	,	3.02665E+27
1091	,	3.10053E+27
1092	,	3.24568E+27
1093	,	3.17197E+27
1094	,	3.04877E+27
1095	,	3.22719E+27
1096	,	3.1917E+27
1097	,	2.80972E+27
1098	,	2.9719E+27
1099	,	2.86995E+27
1100	,	2.77333E+27
1101	,	3.19527E+27
1102	,	2.77839E+27
1103	,	2.80856E+27
1104	,	2.68938E+27
1105	,	2.75275E+27
1106	,	2.60002E+27
1107	,	2.58574E+27
1108	,	2.59919E+27
1109	,	2.81278E+27
1110	,	2.21442E+27
1111	,	2.68978E+27
1112	,	2.31876E+27
1113	,	2.30412E+27
1114	,	2.67474E+27
1115	,	1.85556E+27
1116	,	2.31594E+27
1117	,	1.50616E+27
1118	,	1.68124E+27
1119	,	1.40229E+27
1120	,	1.12845E+27
1121	,	4.4729E+26
1122	,	1.22609E+27
1123	,	6.36109E+26
1124	,	8.00072E+26
1125	,	1.04892E+27
1126	,	4.61145E+26
1127	,	7.23123E+26
1128	,	6.16333E+26
1129	,	8.14963E+26
1130	,	2.92288E+26
1131	,	8.90115E+26
1132	,	5.62916E+26
1133	,	6.02036E+26
1134	,	4.01334E+26
1135	,	1.68414E+27
1136	,	1.33255E+27
1137	,	8.72055E+26
1138	,	2.37888E+26
1139	,	8.85014E+25
1140	,	7.37209E+26
1141	,	1.64731E+27
1142	,	1.16215E+27
1143	,	1.71324E+27
1144	,	1.46814E+27
1145	,	1.10781E+27
1146	,	1.29262E+27
1147	,	1.794E+27
1148	,	6.5032E+26
1149	,	8.40971E+26
1150	,	9.10887E+26
1151	,	3.41592E+26
1152	,	1.56507E+27
1153	,	1.26586E+27
1154	,	7.05798E+26
1155	,	1.17542E+27
1156	,	1.43723E+27
1157	,	1.38048E+27
1158	,	8.2436E+26
1159	,	1.81865E+27
1160	,	1.63413E+27
1161	,	1.83344E+27
1162	,	1.81755E+27
1163	,	1.96488E+27
1164	,	1.66896E+27
1165	,	2.03252E+27
1166	,	2.04596E+27
1167	,	2.74394E+27
1168	,	2.35397E+27
1169	,	2.27981E+27
1170	,	2.19964E+27
1171	,	2.40701E+27
1172	,	2.46783E+27
1173	,	2.48758E+27
1174	,	2.7016E+27
1175	,	2.63911E+27
1176	,	2.68264E+27
1177	,	2.69083E+27
1178	,	1.99031E+27
1179	,	2.67177E+27
1180	,	2.82194E+27
1181	,	2.79474E+27
1182	,	2.13339E+27
1183	,	2.87066E+27
1184	,	2.61784E+27
1185	,	2.70324E+27
1186	,	1.92063E+27
1187	,	2.61259E+27
1188	,	2.50163E+27
1189	,	2.42625E+27
1190	,	2.84594E+27
1191	,	2.72294E+27
1192	,	2.00209E+27
1193	,	2.48827E+27
1194	,	2.76574E+27
1195	,	2.67819E+27
1196	,	2.83635E+27
1197	,	2.7247E+27
1198	,	2.81708E+27
1199	,	2.68719E+27
1200	,	2.59317E+27
1201	,	2.87234E+27
1202	,	2.61559E+27
1203	,	2.20158E+27
1204	,	2.70447E+27
1205	,	2.64026E+27
1206	,	2.64246E+27
1207	,	2.6265E+27
1208	,	2.19259E+27
1209	,	2.64906E+27
1210	,	2.9182E+27
1211	,	2.61095E+27
1212	,	2.63134E+27
1213	,	2.51796E+27
1214	,	2.75744E+27
1215	,	2.57087E+27
1216	,	2.59128E+27
1217	,	2.86801E+27
1218	,	2.65052E+27
1219	,	2.61603E+27
1220	,	2.85064E+27
1221	,	2.78564E+27
1222	,	2.81244E+27
1223	,	2.74116E+27
1224	,	2.81092E+27
1225	,	2.85622E+27
1226	,	2.77249E+27
1227	,	2.73169E+27
1228	,	2.75856E+27
1229	,	2.84709E+27
1230	,	2.88642E+27
1231	,	2.67273E+27
1232	,	2.88495E+27
1233	,	2.8873E+27
1234	,	2.84633E+27
1235	,	2.92296E+27
1236	,	2.88815E+27
1237	,	2.81606E+27
1238	,	2.91767E+27
1239	,	2.88897E+27
1240	,	2.91618E+27
1241	,	2.8812E+27
1242	,	2.91467E+27
1243	,	2.88586E+27
1244	,	2.87571E+27
1245	,	2.88427E+27
1246	,	2.8866E+27
1247	,	2.86391E+27
1248	,	2.84744E+27
1249	,	2.86225E+27
1250	,	2.87709E+27
1251	,	2.86685E+27
1252	,	2.88171E+27
1253	,	2.8903E+27
1254	,	2.87375E+27
1255	,	2.85088E+27
1256	,	2.84056E+27
1257	,	2.82392E+27
1258	,	2.80094E+27
1259	,	2.84736E+27
1260	,	2.78013E+27
1261	,	2.75073E+27
1262	,	2.8162E+27
1263	,	2.70443E+27
1264	,	2.73194E+27
1265	,	2.60723E+27
1266	,	2.51407E+27
1267	,	2.54148E+27
1268	,	2.35909E+27
1269	,	2.52005E+27
1270	,	2.45198E+27
1271	,	2.47304E+27
1272	,	2.36655E+27
1273	,	1.57682E+27
1274	,	2.47251E+27
1275	,	2.60873E+27
1276	,	2.61718E+27
1277	,	2.60002E+27
1278	,	2.60207E+27
1279	,	2.64259E+27
1280	,	2.67676E+27
1281	,	2.69813E+27
1282	,	2.75168E+27
